BOROUGH,YEAR,MONTH,monthly_rate,rolling_3mo_avg
Brooklyn,2022,1,24.26,24.26
Brooklyn,2022,2,21.83,23.05
Brooklyn,2022,3,28.88,24.99
Brooklyn,2022,4,28.32,26.34
Brooklyn,2022,5,24.94,27.38
Brooklyn,2022,6,25.88,26.38
Brooklyn,2022,7,24.11,24.98
Brooklyn,2022,8,23.06,24.35
Brooklyn,2022,9,17.75,21.64
Brooklyn,2022,10,18.81,19.87
Brooklyn,2022,11,20.37,18.98
Brooklyn,2022,12,22.38,20.52
Brooklyn,2023,1,21.68,21.48
Brooklyn,2023,2,18.84,20.97
Brooklyn,2023,3,24.13,21.55
Brooklyn,2023,4,23.48,22.15
Brooklyn,2023,5,22.1,23.24
Brooklyn,2023,6,23.88,23.15
Brooklyn,2023,7,22.45,22.81
Brooklyn,2023,8,25.84,24.06
Brooklyn,2023,9,22.23,23.51
Brooklyn,2023,10,26.07,24.71
Brooklyn,2023,11,26.93,25.08
Brooklyn,2023,12,23.19,25.4
Brooklyn,2024,1,29.45,26.52
Brooklyn,2024,2,26.5,26.38
Brooklyn,2024,3,20.41,25.45
Brooklyn,2024,4,22.81,23.24
Brooklyn,2024,5,20.55,21.26
Brooklyn,2024,6,18.88,20.75
Brooklyn,2024,7,21.81,20.41
Brooklyn,2024,8,22.82,21.17
Brooklyn,2024,9,28.06,24.23
Brooklyn,2024,10,29.65,26.84
Brooklyn,2024,11,25.81,27.84
Brooklyn,2024,12,25.15,26.87
